 
../data/Freescale2.mtx,1,static,1
9530974,,cpu_core/L1-dcache-load-misses/u,3384562537,99.00,0.07,of all L1-dcache accesses
20916288,,cpu_atom/LLC-loads/u,23369987,0.00,,
633734,,cpu_core/LLC-loads/u,3384562537,99.00,,
249361,,cpu_atom/LLC-misses/u,23369987,0.00,1.19,of all LL-cache accesses
332398,,cpu_core/LLC-misses/u,3384562537,99.00,52.45,of all LL-cache accesses
../data/Freescale2.mtx,2,static,10
6282680751,,cpu_atom/L1-dcache-loads/u,4412545,0.00,,
14366238391,,cpu_core/L1-dcache-loads/u,3467711013,99.00,,
<not supported>,,cpu_atom/L1-dcache-load-misses/u,0,100.00,,
10254065,,cpu_core/L1-dcache-load-misses/u,3467711013,99.00,0.07,of all L1-dcache accesses
16547991,,cpu_atom/LLC-loads/u,4412545,0.00,,
1023821,,cpu_core/LLC-loads/u,3467711013,99.00,,
117244,,cpu_atom/LLC-misses/u,4412545,0.00,0.71,of all LL-cache accesses
636950,,cpu_core/LLC-misses/u,3467711013,99.00,62.21,of all LL-cache accesses
1742740438,,cpu_atom/L1-dcache-loads/u,1391562,0.00,,
14361101535,,cpu_core/L1-dcache-loads/u,3407483079,99.00,,
<not supported>,,cpu_atom/L1-dcache-load-misses/u,0,100.00,,
10202171,,cpu_core/L1-dcache-load-misses/u,3407483079,99.00,0.07,of all L1-dcache accesses
68392476,,cpu_atom/LLC-loads/u,1391562,0.00,,
1020701,,cpu_core/LLC-loads/u,3407483079,99.00,,
578123,,cpu_atom/LLC-misses/u,1391562,0.00,0.85,of all LL-cache accesses
803721,,cpu_core/LLC-misses/u,3407483079,99.00,78.74,of all LL-cache accesses
./spmv_benchmark: Interrupt
7798052982,,cpu_atom/L1-dcache-loads/u,24283043,0.00,,
14235924350,,cpu_core/L1-dcache-loads/u,3357416959,99.00,,
<not supported>,,cpu_atom/L1-dcache-load-misses/u,0,100.00,,
4216855,,cpu_core/L1-dcache-load-misses/u,3357416959,99.00,0.03,of all L1-dcache accesses
172963,,cpu_atom/LLC-loads/u,24283043,0.00,,
292797,,cpu_core/LLC-loads/u,3357416959,99.00,,
0,,cpu_atom/LLC-misses/u,24283043,0.00,,
105888,,cpu_core/LLC-misses/u,3357416959,99.00,36.16,of all LL-cache accesses
./spmv_benchmark: Interrupt
343879504,,cpu_atom/L1-dcache-loads/u,4807109,2.00,,
837258206,,cpu_core/L1-dcache-loads/u,196867991,97.00,,
<not supported>,,cpu_atom/L1-dcache-load-misses/u,0,100.00,,
15364,,cpu_core/L1-dcache-load-misses/u,196867991,97.00,0.00,of all L1-dcache accesses
41617,,cpu_atom/LLC-loads/u,4807109,2.00,,
1130,,cpu_core/LLC-loads/u,196867991,97.00,,
0,,cpu_atom/LLC-misses/u,4807109,2.00,,
